"","genes","logFC","logCPM","F","PValue","FDR"
"29","ENSMUSG00000025915",-0.216726593335293,3.39333265892315,2.86412324711302,0.0988862541300745,0.57536240774277
"30","ENSMUSG00000046101",-0.596143724674149,-0.140708212372228,1.69089400476183,0.201434679665514,0.66067217401004
"31","ENSMUSG00000098234",-0.0789370270696003,3.32771072684307,0.177499624337504,0.675940969774602,0.90968819747825
"32","ENSMUSG00000025917",-0.0257693286068006,5.73910544776988,0.0943658479679553,0.760401556432306,0.937581245601189
"33","ENSMUSG00000056763",-0.327252844858667,3.78289549430462,3.1076861984704,0.0860890002006017,0.561285268810004
"34","ENSMUSG00000067851",-0.0189624116331916,5.2611272822682,0.0325842484036346,0.857725363673417,0.965487039861785
"35","ENSMUSG00000048960",0.0704704732111465,3.90944983867879,0.227256938682203,0.636337216065264,0.897092430074181
"36","ENSMUSG00000057715",0.123233344011635,4.77204597653248,0.783541943047036,0.381712491960589,0.787316819191707
"37","ENSMUSG00000016918",-0.17771120645251,3.74486278485843,0.940635861070136,0.338341310923104,0.761669876065546
"38","ENSMUSG00000025938",-0.0259927669610019,2.21216870184699,0.0116319205190747,0.914689754133187,0.978745208914326
"39","ENSMUSG00000005886",-0.0152779560318926,4.91704750800171,0.0161267652406256,0.899627260102935,0.975670467591982
"40","ENSMUSG00000025935",-0.181883635985849,3.97562291181393,2.89108566639225,0.097368616285406,0.572417223443437
"41","ENSMUSG00000025937",-0.0349352412389916,3.44643543283651,0.0691451738473983,0.794027835300984,0.947465518952177
"42","ENSMUSG00000025932",-0.122100279401745,1.97276925877543,0.389836189320147,0.536173649984403,0.857707068734905
"43","ENSMUSG00000054493",-0.336051983731555,-0.100021164677594,0.73800466221355,0.395770341735791,0.793061394768923
"44","ENSMUSG00000025930",0.0898315334909376,0.682153987908057,0.111104596886909,0.740750452551252,0.932525214297367
"45","ENSMUSG00000081201",-0.0700542954312247,2.55864464872928,0.122506504673061,0.728294007111068,0.927982384823155
"46","ENSMUSG00000082193",0.0576561985477779,1.87308411708876,0.0570338363282474,0.812550053646376,0.953630324062417
"47","ENSMUSG00000073737",-0.485091045563795,2.77926839587573,3.9287890584449,0.0548452837145016,0.517794865986997
"48","ENSMUSG00000092083",0.184146965610104,2.58515643058809,1.53319901110891,0.223344590931542,0.679021705776682
"49","ENSMUSG00000025925",0.0473184628725392,2.70213561263756,0.121779989283731,0.729067813498347,0.928203825131323
"50","ENSMUSG00000032719",0.675670612388625,-0.534470066054627,1.904440397178,0.175771465136026,0.640355965737767
"51","ENSMUSG00000067795",-0.219797150814133,-0.579275744092542,0.163081121745681,0.688633958297567,0.913784350398027
"52","ENSMUSG00000043716",0.197575251009445,7.80155982755417,3.07315403184303,0.0877841189209113,0.561285268810004
"53","ENSMUSG00000025921",0.127537685362637,3.30101886053778,0.957874090574753,0.334007973129125,0.75946705766587
"54","ENSMUSG00000025920",0.328023159659274,6.70357692571669,6.14245307556326,0.0178277485572518,0.47015672012166
"55","ENSMUSG00000025939",-0.12483231524526,5.06028304414448,1.66936766526305,0.204265387092385,0.663335579762934
"56","ENSMUSG00000102457",0.243368981042362,1.34633797921325,1.15710586085967,0.288952899941551,0.730100983657277
"57","ENSMUSG00000079658",-0.0874810104916495,6.255108782232,1.54595911508176,0.221466186983806,0.677204133570356
